Dataset,File,date,processing_timestamp,Units,HCHO_Mean (molecules/cm²),HCHO_Min (molecules/cm²),HCHO_Max (molecules/cm²),HCHO_Mean (DU),HCHO_Min (DU),HCHO_Max (DU),Min_Lat,Min_Lon,Max_Lat,Max_Lon
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1218_v003-2021m1219t072935.nc,12/18/2021,12/19/2021,molecules/cm²,466700000000000,-9.71E+18,3.92E+18,0.02,-360.99,145.74,-26.75,131.67,-31.95,-16.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1217_v003-2021m1218t063047.nc,12/17/2021,12/18/2021,molecules/cm²,886400000000000,-9.66E+18,9.91E+18,0.03,-358.99,368.34,-25.05,17.16,-20.85,-71.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1216_v003-2021m1217t072518.nc,12/16/2021,12/17/2021,molecules/cm²,594700000000000,-9.94E+18,3.20E+17,0.02,-369.65,11.89,-31.35,-64.64,-27.95,-68.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1215_v003-2021m1216t062054.nc,12/15/2021,12/16/2021,molecules/cm²,863800000000000,-9.83E+18,9.01E+18,0.03,-365.32,334.99,-6.05,138.37,-65.95,27.26
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1214_v003-2021m1215t073621.nc,12/14/2021,12/15/2021,molecules/cm²,65910000000000,-1.00E+19,9.25E+18,0,-371.82,343.91,-14.75,-71.14,-1.65,-67.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1213_v003-2021m1214t063042.nc,12/13/2021,12/14/2021,molecules/cm²,652800000000000,-9.74E+18,7.09E+18,0.02,-362.14,263.6,11.95,103.57,-6.95,176.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1212_v003-2021m1213t072223.nc,12/12/2021,12/13/2021,molecules/cm²,645400000000000,-9.96E+18,5.18E+17,0.02,-370.24,19.24,-4.55,-79.44,-31.25,28.26
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1211_v003-2021m1212t071535.nc,12/11/2021,12/12/2021,molecules/cm²,-235400000000000,-9.82E+18,8.27E+18,-0.01,-364.98,307.58,-11.65,-69.24,-9.65,41.46
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1210_v003-2021m1211t082739.nc,12/10/2021,12/11/2021,molecules/cm²,446900000000000,-9.86E+18,5.03E+18,0.02,-366.62,187.15,-8.25,19.76,-21.15,55.56
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1209_v003-2021m1210t072702.nc,12/9/2021,12/10/2021,molecules/cm²,1.128E+15,-9.70E+18,8.52E+18,0.04,-360.63,316.66,-9.85,-70.24,-19.05,163.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1208_v003-2021m1209t062310.nc,12/8/2021,12/9/2021,molecules/cm²,299000000000000,-9.64E+18,7.57E+18,0.01,-358.31,281.5,-7.45,14.06,-9.85,148.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1207_v003-2021m1208t071541.nc,12/7/2021,12/8/2021,molecules/cm²,1.502E+15,-9.96E+18,9.91E+18,0.06,-370.25,368.53,-1.75,75.67,-30.95,115.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1206_v003-2021m1207t061655.nc,12/6/2021,12/7/2021,molecules/cm²,970800000000000,-1.00E+19,9.76E+18,0.04,-371.62,362.7,-6.45,33.96,-4.85,-55.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1205_v003-2021m1206t072202.nc,12/5/2021,12/6/2021,molecules/cm²,445400000000000,-9.93E+18,8.52E+18,0.02,-369.03,316.57,0.15,-164.15,-14.75,-177.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1204_v003-2021m1205t071819.nc,12/4/2021,12/5/2021,molecules/cm²,938200000000000,-9.98E+18,7.27E+18,0.03,-371.12,270.08,-13.55,-39.84,-15.35,-29.74
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1203_v003-2021m1204t071903.nc,12/3/2021,12/4/2021,molecules/cm²,991200000000000,-9.94E+18,6.66E+18,0.04,-369.44,247.62,-2.75,-54.04,-32.65,18.16
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1202_v003-2021m1203t071749.nc,12/2/2021,12/3/2021,molecules/cm²,1.065E+15,-9.84E+18,9.93E+18,0.04,-365.64,368.98,-19.15,31.26,-21.15,-56.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1201_v003-2021m1202t062925.nc,12/1/2021,12/2/2021,molecules/cm²,1.508E+15,-9.88E+18,6.35E+18,0.06,-367.11,236.21,-19.75,18.16,-23.05,29.86
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1130_v003-2021m1201t072832.nc,11/30/2021,12/1/2021,molecules/cm²,1.19E+15,-9.92E+18,9.46E+18,0.04,-368.66,351.62,4.15,97.27,-63.15,35.96
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1129_v003-2021m1130t061940.nc,11/29/2021,11/30/2021,molecules/cm²,140400000000000,-9.75E+18,9.64E+18,0.01,-362.3,358.34,-14.75,-58.14,-10.15,145.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1128_v003-2021m1129t072028.nc,11/28/2021,11/29/2021,molecules/cm²,-550400000000000,-9.94E+18,9.04E+18,-0.02,-369.65,336.13,8.05,170.17,-22.65,-151.15
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1127_v003-2021m1128t063049.nc,11/27/2021,11/28/2021,molecules/cm²,47220000000000,-9.94E+18,9.35E+18,0,-369.37,347.45,-7.95,157.77,-14.15,-54.44
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1126_v003-2021m1127t073411.nc,11/26/2021,11/27/2021,molecules/cm²,156700000000000,-9.95E+18,8.34E+18,0.01,-369.88,310.09,3.55,-57.14,-66.85,59.96
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1125_v003-2021m1126t063048.nc,11/25/2021,11/26/2021,molecules/cm²,1.065E+15,-9.72E+18,9.84E+18,0.04,-361.27,365.83,19.45,-98.55,-3.35,137.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1124_v003-2021m1125t083319.nc,11/24/2021,11/25/2021,molecules/cm²,716700000000000,-9.70E+18,9.89E+18,0.03,-360.54,367.73,13.95,-87.04,-8.55,137.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1123_v003-2021m1124t074356.nc,11/23/2021,11/24/2021,molecules/cm²,-239700000000000,-9.87E+18,9.72E+18,-0.01,-367.08,361.3,4.95,98.87,-6.55,145.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1122_v003-2021m1123t061907.nc,11/22/2021,11/23/2021,molecules/cm²,978000000000000,-9.95E+18,9.95E+18,0.04,-369.77,369.97,11.15,-89.44,-6.95,-51.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1121_v003-2021m1122t071837.nc,11/21/2021,11/22/2021,molecules/cm²,825900000000000,-9.83E+18,5.58E+18,0.03,-365.28,207.26,-34.95,-69.04,-45.05,61.26
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1120_v003-2021m1121t061712.nc,11/20/2021,11/21/2021,molecules/cm²,1.179E+15,-9.82E+18,7.88E+18,0.04,-365.14,292.85,-9.45,-60.24,-18.45,23.86
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1119_v003-2021m1120t071315.nc,11/19/2021,11/20/2021,molecules/cm²,138600000000000,-9.95E+18,9.45E+18,0.01,-369.83,351.28,-0.25,-76.84,-29.35,109.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1118_v003-2021m1119t072306.nc,11/18/2021,11/19/2021,molecules/cm²,975600000000000,-9.56E+18,4.46E+18,0.04,-355.28,165.9,8.95,3.76,-10.05,151.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1117_v003-2021m1118t082454.nc,11/17/2021,11/18/2021,molecules/cm²,542600000000000,-9.79E+18,9.92E+18,0.02,-364.03,368.82,7.55,-34.74,-9.85,175.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1116_v003-2021m1117t072245.nc,11/16/2021,11/17/2021,molecules/cm²,1.565E+15,-9.59E+18,1.00E+19,0.06,-356.66,371.61,-32.15,-65.14,-35.45,119.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1115_v003-2021m1116t063342.nc,11/15/2021,11/16/2021,molecules/cm²,804900000000000,-9.89E+18,9.47E+18,0.03,-367.66,351.9,-4.15,17.46,-9.35,-24.84
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1114_v003-2021m1115t072148.nc,11/14/2021,11/15/2021,molecules/cm²,878600000000000,-9.91E+18,7.92E+18,0.03,-368.53,294.23,-8.25,-72.94,-52.35,163.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1113_v003-2021m1114t062121.nc,11/13/2021,11/14/2021,molecules/cm²,1.006E+15,-9.96E+18,7.97E+18,0.04,-370.08,296.41,6.15,34.46,-16.85,147.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1112_v003-2021m1113t072521.nc,11/12/2021,11/13/2021,molecules/cm²,1.18E+15,-9.90E+18,9.89E+18,0.04,-368.11,367.46,-30.45,151.67,-14.95,-90.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1111_v003-2021m1112t063250.nc,11/11/2021,11/12/2021,molecules/cm²,1.305E+15,-9.96E+18,8.16E+18,0.05,-370.24,303.4,9.65,30.46,-35.65,18.76
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1110_v003-2021m1112t073323.nc,11/10/2021,11/12/2021,molecules/cm²,1.129E+15,-9.89E+18,9.99E+18,0.04,-367.7,371.29,-23.45,146.37,-15.35,-68.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1109_v003-2021m1110t072124.nc,11/9/2021,11/10/2021,molecules/cm²,1.46E+15,-1.00E+19,6.71E+18,0.05,-371.59,249.44,-17.85,-54.54,-33.25,-27.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1108_v003-2021m1109t062049.nc,11/8/2021,11/9/2021,molecules/cm²,921300000000000,-9.89E+18,9.57E+18,0.03,-367.46,355.81,-9.15,15.26,-21.95,103.27
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1107_v003-2021m1108t073003.nc,11/7/2021,11/8/2021,molecules/cm²,974200000000000,-9.98E+18,9.95E+18,0.04,-370.8,370.05,-25.95,31.46,-12.75,87.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1106_v003-2021m1107t063102.nc,11/6/2021,11/7/2021,molecules/cm²,642600000000000,-9.98E+18,9.91E+18,0.02,-371,368.36,-23.65,115.57,-1.95,-28.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1105_v003-2021m1106t073412.nc,11/5/2021,11/6/2021,molecules/cm²,1.201E+15,-9.93E+18,9.87E+18,0.04,-369.31,366.75,-8.95,24.26,-27.65,-179.55
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1104_v003-2021m1105t061957.nc,11/4/2021,11/5/2021,molecules/cm²,1.979E+15,-9.92E+18,9.98E+18,0.07,-368.57,371.04,-8.05,110.17,-9.75,-103.45
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1103_v003-2021m1104t073230.nc,11/3/2021,11/4/2021,molecules/cm²,6.224E+15,-9.85E+18,9.96E+18,0.23,-365.98,370.34,-3.05,-56.14,-15.65,-116.25
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1102_v003-2021m1103t071715.nc,11/2/2021,11/3/2021,molecules/cm²,2.248E+15,-9.89E+18,9.89E+18,0.08,-367.46,367.79,13.55,-95.74,-17.35,92.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1101_v003-2021m1102t073428.nc,11/1/2021,11/2/2021,molecules/cm²,1.274E+15,-9.99E+18,8.81E+18,0.05,-371.3,327.45,16.05,-12.14,-19.55,153.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1031_v003-2021m1101t072939.nc,10/31/2021,11/1/2021,molecules/cm²,584300000000000,-9.88E+18,9.00E+18,0.02,-367.22,334.45,7.25,-72.64,-10.45,-49.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1030_v003-2021m1031t062328.nc,10/30/2021,10/31/2021,molecules/cm²,1.168E+15,-1.00E+19,9.53E+18,0.04,-371.59,354.35,6.35,15.16,-18.05,100.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1029_v003-2021m1030t073041.nc,10/29/2021,10/30/2021,molecules/cm²,788200000000000,-9.76E+18,7.46E+18,0.03,-362.7,277.32,-24.95,-69.04,-36.75,-130.05
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1027_v003-2021m1028t072613.nc,10/27/2021,10/28/2021,molecules/cm²,1.727E+15,-1.00E+19,9.75E+18,0.06,-371.75,362.6,35.65,59.46,-23.75,-137.35
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1026_v003-2021m1027t062641.nc,10/26/2021,10/27/2021,molecules/cm²,1.896E+15,-9.70E+18,9.79E+18,0.07,-360.51,363.79,-0.85,35.16,4.95,-146.85
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1025_v003-2021m1026t072740.nc,10/25/2021,10/26/2021,molecules/cm²,4.789E+15,-9.87E+18,9.98E+18,0.18,-366.97,371,-20.15,25.46,6.45,75.17
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1024_v003-2021m1025t072239.nc,10/24/2021,10/25/2021,molecules/cm²,1.898E+15,-9.86E+18,9.60E+18,0.07,-366.5,356.81,-24.95,29.16,-16.65,90.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1023_v003-2021m1024t083457.nc,10/23/2021,10/24/2021,molecules/cm²,683700000000000,-9.79E+18,1.58E+18,0.03,-364,58.57,6.85,90.77,28.95,84.17
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1022_v003-2021m1023t074646.nc,10/22/2021,10/23/2021,molecules/cm²,1.122E+15,-9.93E+18,9.81E+18,0.04,-369.03,364.49,-14.95,-70.04,-12.25,-110.75
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1021_v003-2021m1022t062547.nc,10/21/2021,10/22/2021,molecules/cm²,2.681E+15,-9.60E+18,9.73E+18,0.1,-356.83,361.6,7.65,85.17,-13.35,-162.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1020_v003-2021m1021t082435.nc,10/20/2021,10/21/2021,molecules/cm²,1.394E+15,-9.90E+18,9.94E+18,0.05,-368.13,369.38,-15.55,-45.74,-8.55,-139.55
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1019_v003-2021m1020t062923.nc,10/19/2021,10/20/2021,molecules/cm²,6.096E+15,-9.98E+18,9.99E+18,0.23,-371.13,371.48,1.85,-62.64,7.95,-82.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1018_v003-2021m1019t073939.nc,10/18/2021,10/19/2021,molecules/cm²,-1.334E+15,-9.99E+18,4.55E+17,-0.05,-371.25,16.93,5.55,95.47,-22.35,-66.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1017_v003-2021m1018t073320.nc,10/17/2021,10/18/2021,molecules/cm²,1.27E+16,-9.84E+18,9.99E+18,0.47,-365.93,371.22,23.75,98.87,-12.75,-106.15
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1016_v003-2021m1017t082958.nc,10/16/2021,10/17/2021,molecules/cm²,1.41E+16,-9.74E+18,1.00E+19,0.52,-362.17,371.59,6.45,39.86,-15.95,177.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1015_v003-2021m1016t072922.nc,10/15/2021,10/16/2021,molecules/cm²,3.049E+15,-9.99E+18,9.71E+18,0.11,-371.46,360.96,-13.35,30.56,-9.55,-85.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1014_v003-2021m1015t062025.nc,10/14/2021,10/15/2021,molecules/cm²,262300000000000,-9.96E+18,9.95E+18,0.01,-370.26,370.02,17.05,108.97,8.55,168.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1013_v003-2021m1014t072327.nc,10/13/2021,10/14/2021,molecules/cm²,1.823E+15,-9.98E+18,9.26E+18,0.07,-370.87,344.2,36.65,-106.25,10.15,-142.05
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1012_v003-2021m1013t063224.nc,10/12/2021,10/13/2021,molecules/cm²,2.11E+15,-9.68E+18,1.99E+18,0.08,-359.98,73.95,-2.05,35.26,-46.35,-104.25
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1011_v003-2021m1012t074101.nc,10/11/2021,10/12/2021,molecules/cm²,2.724E+15,-9.99E+18,9.95E+18,0.1,-371.24,369.92,-14.55,-71.24,-11.95,82.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1010_v003-2021m1011t074007.nc,10/10/2021,10/11/2021,molecules/cm²,-425500000000000,-9.78E+18,9.87E+18,-0.02,-363.66,366.96,14.65,-91.64,28.55,175.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1009_v003-2021m1010t073247.nc,10/9/2021,10/10/2021,molecules/cm²,2.276E+15,-9.87E+18,9.99E+18,0.08,-366.94,371.25,-2.55,120.57,-0.55,2.26
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1008_v003-2021m1013t091957.nc,10/8/2021,10/13/2021,molecules/cm²,4.285E+15,-9.93E+18,9.98E+18,0.16,-369.2,370.95,-1.35,-66.74,-21.45,-105.25
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1007_v003-2021m1008t062728.nc,10/7/2021,10/8/2021,molecules/cm²,1.97E+16,-9.95E+18,9.99E+18,0.73,-369.74,371.5,-6.95,143.17,-2.05,-25.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1006_v003-2021m1007t073346.nc,10/6/2021,10/7/2021,molecules/cm²,2.94E+16,-9.84E+18,1.00E+19,1.09,-365.62,371.58,-24.25,131.97,20.35,154.07
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1005_v003-2021m1006t062334.nc,10/5/2021,10/6/2021,molecules/cm²,2.02E+16,-9.95E+18,1.00E+19,0.75,-369.7,371.61,9.95,87.07,-2.15,-28.24
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1004_v003-2021m1005t073318.nc,10/4/2021,10/5/2021,molecules/cm²,1.19E+16,-9.99E+18,1.00E+19,0.44,-371.48,371.57,14.55,-5.54,21.25,175.47
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1003_v003-2021m1004t062130.nc,10/3/2021,10/4/2021,molecules/cm²,2.53E+16,-9.91E+18,9.98E+18,0.94,-368.29,371.03,-0.55,36.76,-6.55,-30.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1002_v003-2021m1003t073136.nc,10/2/2021,10/3/2021,molecules/cm²,3.89E+16,-9.77E+18,1.00E+19,1.44,-363.29,371.65,0.75,121.37,4.15,2.86
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m1001_v003-2021m1002t063635.nc,10/1/2021,10/2/2021,molecules/cm²,6.338E+15,-9.99E+18,9.99E+18,0.24,-371.21,371.5,21.15,74.87,-16.75,-129.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0930_v003-2021m1001t072616.nc,9/30/2021,10/1/2021,molecules/cm²,2.09E+16,-9.87E+18,1.00E+19,0.78,-366.78,371.66,8.75,116.47,-4.95,-23.04
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0929_v003-2021m0930t073122.nc,9/29/2021,9/30/2021,molecules/cm²,2.09E+16,-1.00E+19,1.00E+19,0.77,-371.94,371.68,-13.65,-44.34,-14.85,-133.45
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0928_v003-2021m0929t062312.nc,9/28/2021,9/29/2021,molecules/cm²,2.34E+16,-9.95E+18,1.00E+19,0.87,-369.79,371.63,-0.25,-61.84,-21.25,-121.05
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0927_v003-2021m0928t072537.nc,9/27/2021,9/28/2021,molecules/cm²,2.27E+16,-9.75E+18,9.99E+18,0.84,-362.59,371.54,48.55,-113.95,5.85,-141.15
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0926_v003-2021m0927t063348.nc,9/26/2021,9/27/2021,molecules/cm²,3.67E+16,-9.97E+18,1.00E+19,1.36,-370.56,371.61,35.85,53.16,18.05,-9.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0925_v003-2021m0926t073857.nc,9/25/2021,9/26/2021,molecules/cm²,1.49E+16,-9.97E+18,1.00E+19,0.55,-370.56,371.74,-8.55,-51.24,-4.25,-92.64
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0924_v003-2021m0925t063403.nc,9/24/2021,9/25/2021,molecules/cm²,2.81E+16,-9.95E+18,1.00E+19,1.04,-369.86,371.67,34.05,-99.75,19.25,160.57
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0923_v003-2021m0924t073858.nc,9/23/2021,9/24/2021,molecules/cm²,4.29E+16,-9.38E+18,1.00E+19,1.59,-348.58,371.72,35.35,-112.05,1.85,-22.84
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0922_v003-2021m0923t073019.nc,9/22/2021,9/23/2021,molecules/cm²,3.49E+16,-9.94E+18,1.00E+19,1.3,-369.62,371.66,4.45,-67.74,-9.65,-9.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0921_v003-2021m0922t073412.nc,9/21/2021,9/22/2021,molecules/cm²,3.50E+16,-9.99E+18,1.00E+19,1.3,-371.52,371.65,8.55,-82.74,16.05,-78.34
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0920_v003-2021m0921t073555.nc,9/20/2021,9/21/2021,molecules/cm²,5.88E+16,-9.99E+18,1.00E+19,2.19,-371.28,371.82,1.75,28.36,5.85,157.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0919_v003-2021m0920t062257.nc,9/19/2021,9/20/2021,molecules/cm²,9.01E+15,-9.97E+18,1.00E+19,0.33,-370.62,371.6,8.65,10.96,12.85,-130.25
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0918_v003-2021m0919t074557.nc,9/18/2021,9/19/2021,molecules/cm²,2.02E+16,-1.00E+19,9.99E+18,0.75,-371.72,371.3,-20.15,128.27,-28.15,137.47
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0917_v003-2021m0918t063449.nc,9/17/2021,9/18/2021,molecules/cm²,1.11E+16,-1.00E+19,1.00E+19,0.41,-371.88,371.62,-37.05,142.77,-12.55,69.97
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0916_v003-2021m0917t082657.nc,9/16/2021,9/17/2021,molecules/cm²,4.50E+16,-9.86E+18,1.00E+19,1.67,-366.44,371.62,13.85,-98.04,15.55,148.87
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0915_v003-2021m0916t063104.nc,9/15/2021,9/16/2021,molecules/cm²,4.29E+16,-9.91E+18,1.00E+19,1.59,-368.55,371.73,-7.75,106.87,16.25,-175.55
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0914_v003-2021m0915t082534.nc,9/14/2021,9/15/2021,molecules/cm²,4.80E+16,-9.77E+18,1.00E+19,1.79,-363.16,371.77,41.75,-93.44,0.45,-48.84
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0913_v003-2021m0914t073136.nc,9/13/2021,9/14/2021,molecules/cm²,3.96E+16,-9.94E+18,1.00E+19,1.47,-369.59,371.89,-15.45,31.56,8.75,9.66
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0912_v003-2021m0913t063615.nc,9/12/2021,9/13/2021,molecules/cm²,4.62E+16,-9.95E+18,1.00E+19,1.72,-369.76,371.73,32.75,79.67,12.45,143.37
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0911_v003-2021m0912t075052.nc,9/11/2021,9/12/2021,molecules/cm²,4.27E+16,-9.86E+18,1.00E+19,1.59,-366.68,371.77,9.65,97.37,-4.95,83.67
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0910_v003-2021m0911t070807.nc,9/10/2021,9/11/2021,molecules/cm²,8.083E+15,-9.69E+18,1.00E+19,0.3,-360.36,371.61,10.45,107.67,-13.55,96.47
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0909_v003-2021m0910t080349.nc,9/9/2021,9/10/2021,molecules/cm²,inf,-9.99E+18,inf,inf,-371.47,inf,-30.95,-95.04,1.65,172.27
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0908_v003-2021m0909t072225.nc,9/8/2021,9/9/2021,molecules/cm²,4.82E+16,-9.86E+18,1.00E+19,1.79,-366.6,371.72,-3.55,91.07,10.15,-109.55
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0907_v003-2021m0908t073218.nc,9/7/2021,9/8/2021,molecules/cm²,3.85E+16,-9.76E+18,1.00E+19,1.43,-362.83,371.75,23.95,112.07,-1.75,76.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0906_v003-2021m0907t073754.nc,9/6/2021,9/7/2021,molecules/cm²,1.63E+16,-9.86E+18,9.99E+18,0.6,-366.55,371.47,8.15,102.27,-24.45,-129.35
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0905_v003-2021m0906t083222.nc,9/5/2021,9/6/2021,molecules/cm²,1.95E+16,-9.85E+18,9.99E+18,0.73,-366.26,371.31,30.65,80.97,26.95,67.77
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0904_v003-2021m0905t073238.nc,9/4/2021,9/5/2021,molecules/cm²,4.14E+16,-9.99E+18,1.00E+19,1.54,-371.47,371.76,31.25,90.47,2.85,-177.35
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0903_v003-2021m0904t062114.nc,9/3/2021,9/4/2021,molecules/cm²,4.02E+16,-9.94E+18,1.00E+19,1.5,-369.43,371.84,23.45,81.67,10.05,-129.65
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0902_v003-2021m0903t073248.nc,9/2/2021,9/3/2021,molecules/cm²,4.31E+16,-9.90E+18,1.00E+19,1.6,-368.17,371.7,40.75,113.27,13.45,-94.54
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0901_v003-2021m0902t062640.nc,9/1/2021,9/2/2021,molecules/cm²,5.24E+16,-9.90E+18,1.00E+19,1.95,-368.2,371.66,49.25,95.77,-4.35,-104.95
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0831_v003-2021m0901t082910.nc,8/31/2021,9/1/2021,molecules/cm²,5.80E+16,-9.79E+18,1.00E+19,2.15,-364.06,371.71,4.65,101.77,6.75,52.06
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0830_v003-2021m0831t072235.nc,8/30/2021,8/31/2021,molecules/cm²,4.13E+16,-9.95E+18,1.00E+19,1.53,-369.77,371.73,32.05,96.87,-8.25,41.16
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0829_v003-2021m0830t080346.nc,8/29/2021,8/30/2021,molecules/cm²,4.10E+16,-9.82E+18,1.00E+19,1.52,-364.89,371.7,-12.85,-45.64,0.65,-24.14
OMI-Aura,OMI-Aura_L3-OMHCHOd_2021m0828_v003-2021m0829t070259.nc,8/28/2021,8/29/2021,molecules/cm²,4.57E+16,-9.84E+18,1.00E+19,1.7,-365.61,371.77,3.25,-63.24,0.85,-175.65
